date,temperature,humidity,luminosity
2022-11-17 15:32:38.985,25.1,10.5,54
2022-11-17 15:32:37.342,25.1,10.6,54
2022-11-17 15:32:35.698,25.1,10.7,54
2022-11-17 15:32:34.055,25.1,10.8,54
2022-11-17 15:32:32.411,25.1,11.0,54
2022-11-17 15:32:30.768,25.1,11.2,54
2022-11-17 15:32:29.124,25.1,11.3,54
2022-11-17 15:32:27.481,25.1,11.5,54
2022-11-17 15:32:25.838,25.1,11.6,54
2022-11-17 15:32:24.194,25.1,11.6,52
2022-11-17 15:32:22.552,25.1,11.7,52
2022-11-17 15:32:20.910,25.1,11.9,52
2022-11-17 15:32:19.266,25.1,12.0,52
2022-11-17 15:32:17.623,25.1,12.1,54
2022-11-17 15:32:15.979,25.1,12.5,55
2022-11-17 15:32:14.336,25.1,12.5,54
2022-11-17 15:32:12.692,25.1,12.5,54
2022-11-17 15:32:11.049,25.1,12.6,55
2022-11-17 15:32:09.405,25.1,12.9,55
2022-11-17 15:32:07.762,25.1,12.9,54
2022-11-17 15:32:06.119,25.1,13.1,54
2022-11-17 15:32:04.476,25.1,12.9,55
2022-11-17 15:32:02.834,25.1,12.9,55
2022-11-17 15:32:01.192,25.1,12.7,54
2022-11-17 15:31:59.548,25.1,12.4,54
2022-11-17 15:31:57.904,25.1,12.5,53
2022-11-17 15:31:56.261,25.1,12.2,53
2022-11-17 15:31:54.616,25.1,11.9,53
2022-11-17 15:31:52.973,25.1,11.7,53
2022-11-17 15:31:51.329,25.1,11.3,53
2022-11-17 15:31:49.686,25.1,11.5,53
2022-11-17 15:31:48.042,25.1,11.4,53
2022-11-17 15:31:46.399,25.1,11.2,53
2022-11-17 15:31:44.756,25.1,10.7,54
2022-11-17 15:31:43.113,25.1,10.6,53
2022-11-17 15:31:41.470,25.1,10.5,54
2022-11-17 15:31:39.826,25.1,10.7,54
2022-11-17 15:31:38.183,25.1,10.3,54
2022-11-17 15:31:36.540,25.1,10.2,54
2022-11-17 15:31:34.897,25.1,10.2,54
2022-11-17 15:31:33.253,25.1,10.3,55
2022-11-17 15:31:31.610,25.1,10.2,55
2022-11-17 15:31:29.966,25.1,10.2,54
2022-11-17 15:31:28.323,25.1,10.2,54
2022-11-17 15:31:26.681,25.1,10.4,54
2022-11-17 15:31:25.038,25.1,10.4,55
2022-11-17 15:31:23.395,25.1,10.4,55
2022-11-17 15:31:21.752,25.1,10.4,55
2022-11-17 15:31:20.109,25.1,10.4,55
2022-11-17 15:31:18.465,25.1,10.5,55
2022-11-17 15:30:48.942,25.0,10.6,55
2022-11-17 15:30:47.299,25.0,10.7,55
2022-11-17 15:30:45.655,25.1,10.7,55
2022-11-17 15:30:44.012,25.0,10.6,54
2022-11-17 15:30:42.368,25.0,10.7,55
2022-11-17 15:30:40.724,25.1,10.6,55
2022-11-17 15:30:39.082,25.1,10.5,55
2022-11-17 15:30:37.439,25.1,10.6,56
2022-11-17 15:30:35.795,25.0,10.7,56
2022-11-17 15:30:34.152,25.0,10.8,55
2022-11-17 15:30:32.508,25.0,10.6,55
2022-11-17 15:30:30.865,25.0,10.5,55
2022-11-17 15:30:29.222,25.0,10.6,55
2022-11-17 15:30:27.578,25.0,10.6,55
2022-11-17 15:30:25.935,25.0,10.5,55
2022-11-17 15:30:24.293,25.1,10.6,55
2022-11-17 15:30:22.650,25.1,10.6,56
2022-11-17 15:30:21.007,25.0,10.6,55
2022-11-17 15:30:19.363,25.0,10.4,55
2022-11-17 15:30:17.721,25.0,10.5,55
2022-11-17 15:30:16.076,25.0,10.6,55
2022-11-17 15:30:14.432,25.0,10.6,55
2022-11-17 15:30:12.790,25.1,10.5,55
2022-11-17 15:30:11.147,25.0,10.4,55
2022-11-17 15:30:09.503,25.0,10.5,55
2022-11-17 15:30:07.860,25.1,10.5,55
2022-11-17 15:30:06.218,25.0,10.5,55
2022-11-17 15:30:04.575,25.1,10.5,56
2022-11-17 15:30:02.931,25.1,10.5,56
2022-11-17 15:30:01.288,25.1,10.7,56
2022-11-17 15:29:59.644,25.0,10.5,56
2022-11-17 15:29:58.001,25.0,10.6,56
2022-11-17 15:29:56.357,25.1,10.5,55
2022-11-17 15:29:54.714,25.1,10.7,55
2022-11-17 15:29:53.072,25.1,10.6,52
2022-11-17 15:29:51.428,25.0,10.8,52
2022-11-17 15:29:49.785,25.1,11.0,52
2022-11-17 15:29:48.142,25.1,10.9,52
2022-11-17 15:29:46.497,25.0,10.8,53
2022-11-17 15:29:44.854,25.0,10.7,47
2022-11-17 15:29:43.210,25.1,10.6,47
2022-11-17 15:29:41.567,25.0,10.9,48
2022-11-17 15:29:39.924,25.1,10.6,48
2022-11-17 15:29:38.280,25.1,10.4,49
2022-11-17 15:29:36.637,25.0,10.6,50
2022-11-17 15:29:34.993,25.1,10.4,54
2022-11-17 15:29:33.350,25.1,10.7,55
2022-11-17 15:29:31.706,25.1,10.4,54
2022-11-17 15:29:30.063,25.1,10.8,54
2022-11-17 15:29:28.419,25.0,10.5,54
2022-11-17 15:29:26.776,25.1,10.7,55
2022-11-17 15:29:25.132,25.1,10.8,55
2022-11-17 15:29:23.489,25.1,10.9,55
2022-11-17 15:29:21.846,25.0,10.9,55
2022-11-17 15:29:20.203,25.1,10.8,56
2022-11-17 15:29:18.559,25.0,10.9,55
2022-11-17 15:29:16.916,25.1,10.9,56
2022-11-17 15:29:15.272,25.0,11.3,56
2022-11-17 15:29:13.629,25.0,11.2,55
2022-11-17 15:29:11.985,25.1,11.1,55
2022-11-17 15:29:10.342,25.0,11.1,54
2022-11-17 15:29:08.699,25.0,11.3,55
2022-11-17 15:29:07.056,25.0,11.5,55
2022-11-17 15:29:05.412,25.1,11.6,55
2022-11-17 15:29:03.770,25.0,11.9,55
2022-11-17 15:29:02.127,25.0,11.8,55
2022-11-17 15:29:00.484,25.0,11.7,55
2022-11-17 15:28:58.842,25.0,11.8,55
2022-11-17 15:28:57.199,25.0,11.9,54
2022-11-17 15:28:55.556,25.0,12.2,54
2022-11-17 15:28:53.913,25.0,12.2,56
2022-11-17 15:28:52.270,25.0,12.1,56
2022-11-17 15:28:50.625,25.0,12.2,56
2022-11-17 15:28:48.983,25.0,12.6,56
2022-11-17 15:28:47.340,25.0,12.6,56
2022-11-17 15:28:45.697,25.0,12.7,55
2022-11-17 15:28:44.054,25.0,12.8,54
2022-11-17 15:28:42.410,25.0,12.8,55
2022-11-17 15:28:40.767,25.0,12.8,54
2022-11-17 15:28:39.123,25.0,12.8,54
2022-11-17 15:28:37.480,25.0,12.6,55
2022-11-17 15:28:35.836,25.0,12.5,54
2022-11-17 15:28:34.193,25.0,12.6,53
2022-11-17 15:28:32.549,25.0,12.5,52
2022-11-17 15:28:30.906,25.0,12.7,52
2022-11-17 15:28:29.263,25.0,12.9,53
2022-11-17 15:28:27.621,25.0,13.0,55
2022-11-17 15:28:25.977,25.0,13.0,54
2022-11-17 15:28:24.333,25.0,12.9,54
2022-11-17 15:28:22.690,25.0,13.2,54
2022-11-17 15:28:21.047,25.0,13.2,54
